avg_burst_time,arrival_rate,cpu_io_ratio,priority_variance,queue_length,throughput_req,best_scheduler
1,21,0.14199325746444658,6,32,low,RR
5,6,0.99,5,27,low,RR
5,10,0.8602485862548844,1,25,medium,RR
9,14,0.32045871295325995,4,5,low,RR
8,2,0.4268109042843634,8,44,medium,Priority
2,22,0.7871563654907792,2,16,low,RR
12,5,0.1822669549948564,9,21,high,FCFS
15,23,0.7786863675736991,5,18,medium,RR
11,19,0.9064863099445976,2,42,medium,RR
2,18,0.44453089420454656,3,38,low,SJF
6,1,0.7890327499909427,7,46,high,FCFS
17,4,0.8234375023507178,8,21,medium,RR
17,28,0.15440065333647687,5,38,medium,RR
2,13,0.28965154804724746,3,27,high,SJF
16,11,0.20865920258465256,8,8,low,Priority
3,3,0.5604917140718575,2,23,low,RR
5,18,0.34374203185995333,6,25,medium,SJF
1,5,0.5205882013209089,2,19,medium,RR
13,27,0.11821326487236614,9,27,high,Priority
11,16,0.15441431855393456,4,5,low,RR
3,29,0.9609183816538163,8,26,medium,Priority
14,24,0.7391101323320266,8,10,high,Priority
15,23,0.5613079823605021,2,42,high,RR
19,15,0.18781482236736335,7,41,medium,RR
7,25,0.8424253160108,6,30,medium,RR
12,24,0.8746992636025673,4,29,medium,RR
3,9,0.5313292213886398,4,26,medium,RR
15,8,0.6007987736867423,3,46,low,SJF
5,6,0.8968925291277681,2,49,medium,RR
5,25,0.3077468912337749,6,26,medium,SJF
6,23,0.5266978454874939,8,14,high,Priority
3,19,0.13306429175498408,5,40,high,SJF
6,2,0.6143581033242631,4,19,medium,RR
17,24,0.7352225673841566,9,6,high,Priority
11,8,0.5239749338842375,5,10,medium,RR
4,19,0.27800084886480314,4,16,high,SJF
1,26,0.7795608167510493,6,41,medium,Priority
11,4,0.3812042956841605,3,38,medium,RR
18,24,0.2304734098397071,7,13,medium,Priority
13,8,0.821623862628606,1,41,low,RR
17,9,0.6381205669759245,8,42,high,Priority
3,17,0.8472101371511076,2,18,low,RR
11,9,0.28584750022930117,3,39,low,RR
8,22,0.14118680034145695,8,16,low,Priority
5,14,0.8139840791710591,3,25,low,RR
5,19,0.6931779918549463,4,29,low,RR
10,25,0.7101695768950487,8,43,medium,Priority
19,29,0.3712185824037731,7,19,low,Priority
17,1,0.4588887665837281,2,18,low,RR
8,8,0.6549206201329064,3,9,medium,RR
3,7,0.7664673840227069,4,19,high,FCFS
1,20,0.7516902824672451,4,33,medium,RR
1,29,0.31971909875073345,7,37,medium,SJF
4,22,0.7416619018659897,5,15,low,RR
6,13,0.20453388856722135,4,49,high,SJF
8,5,0.5097368731316715,4,16,low,RR
2,27,0.6636949728807467,3,40,medium,RR
11,27,0.4169315613572658,8,42,medium,Priority
8,23,0.5010919947875223,8,22,low,Priority
1,15,0.7640253505852476,4,8,low,RR
5,8,0.6727527735595663,1,32,high,RR
9,22,0.159862201544137,8,45,medium,Priority
11,23,0.232653528625682,5,25,medium,RR
14,4,0.2120242885612548,9,5,high,FCFS
19,8,0.6433727442846845,9,13,medium,Priority
9,3,0.4420528571364393,9,30,high,FCFS
6,2,0.521400847254893,2,31,low,RR
11,27,0.49920132321518706,3,28,low,RR
7,20,0.47481488693296114,8,37,low,Priority
11,22,0.2995315288313061,2,25,low,RR
7,17,0.9624312562859648,1,24,medium,RR
8,17,0.36754618331729355,7,23,medium,Priority
17,13,0.4291226965551838,8,22,medium,Priority
1,14,0.7326905101946412,2,6,medium,RR
17,18,0.5325309233709399,3,9,low,RR
8,29,0.17271543353472854,3,36,medium,RR
10,19,0.6797007941046102,1,27,high,RR
18,7,0.6870634081734799,1,7,high,FCFS
8,22,0.4024226532769215,5,7,high,RR
1,28,0.31731696735297754,2,39,medium,SJF
14,11,0.9591443059897891,4,41,medium,RR
14,23,0.9078002369995077,7,14,high,Priority
1,23,0.8454898595093964,3,40,low,RR
18,2,0.9252509239308973,5,25,high,FCFS
10,2,0.43213903976424944,7,16,low,Priority
5,7,0.783539790208387,9,38,low,Priority
12,3,0.9448685372657226,6,48,low,RR
10,24,0.9773016653008357,7,36,low,Priority
18,19,0.5542670236812283,9,44,medium,Priority
13,25,0.3360514075396829,6,27,high,RR
14,4,0.21420278538027704,2,27,low,RR
11,6,0.9035245067412312,5,46,low,RR
6,2,0.5991404597720024,9,42,medium,Priority
12,23,0.17468676550160187,6,25,high,RR
6,27,0.6361401349255623,9,11,medium,Priority
13,17,0.4826804177022139,2,47,low,RR
19,21,0.6408596420073636,5,15,high,RR
4,17,0.7542033633873204,8,39,medium,Priority
2,23,0.6897367043710834,6,26,low,RR
1,26,0.13191851010247838,4,23,high,SJF
11,17,0.5442885765864727,2,13,medium,RR
2,21,0.41500817425654934,8,21,low,SJF
11,8,0.49194582770627404,7,39,high,Priority
18,5,0.10810672129742953,3,34,medium,RR
2,12,0.4154455303000617,1,21,medium,SJF
17,15,0.18023416068939574,8,23,high,Priority
17,23,0.7328527372032831,6,12,low,RR
18,25,0.6881314696181462,9,49,medium,Priority
15,10,0.6137826622880045,1,28,medium,RR
7,14,0.20669141058666501,7,13,high,Priority
16,9,0.963253863839759,7,34,medium,Priority
7,3,0.38810764958770744,7,22,medium,Priority
3,12,0.21717581219015333,2,7,low,SJF
11,8,0.4911534074838212,7,48,high,Priority
15,24,0.5839773586332698,6,29,low,RR
18,1,0.8901712553589621,2,39,medium,RR
2,27,0.8938893470479762,2,36,high,RR
7,14,0.4000851438233403,1,33,medium,RR
12,25,0.6249963704105108,9,14,medium,Priority
7,20,0.7641410426602762,1,7,low,RR
14,24,0.36459190220292864,4,22,medium,RR
5,25,0.3642856996622582,5,20,low,SJF
15,17,0.4656799157200041,4,16,high,RR
5,29,0.3382141720894609,6,43,high,SJF
14,24,0.5198274882738665,2,29,high,RR
4,27,0.4642981336272461,6,49,medium,SJF
10,11,0.2733987247016075,9,7,medium,Priority
5,5,0.6558052593562423,7,14,high,FCFS
17,29,0.32856362360359515,3,22,medium,RR
17,24,0.9081839233451078,3,42,low,RR
15,24,0.6456031546839368,5,38,high,RR
9,24,0.32469441926044507,9,7,low,Priority
2,12,0.12462095579244666,8,30,low,SJF
11,28,0.35362500967568883,6,12,high,RR
5,16,0.5389738036698861,6,41,low,RR
5,12,0.8539092432577517,8,49,medium,Priority
19,26,0.624089758441649,8,37,high,Priority
13,13,0.759580236788678,8,23,low,Priority
16,9,0.3934795322596537,9,46,high,Priority
6,28,0.24208171554596705,9,35,high,SJF
10,10,0.8187556632424923,5,33,high,RR
18,4,0.5971573201175431,7,6,low,Priority
14,27,0.9702052241149962,1,44,high,RR
2,28,0.11522515155251972,3,11,high,RR
7,10,0.489331744709631,2,31,high,RR
5,29,0.7955694865443748,4,36,medium,RR
4,27,0.23652414791467186,6,21,medium,SJF
1,22,0.6357837015151533,2,18,high,RR
12,4,0.6862360734575588,4,15,high,FCFS
11,1,0.3813140914831251,3,16,medium,RR
2,14,0.5159598375666483,4,20,high,RR
13,9,0.25302478364138087,7,33,low,RR
11,20,0.8471864156446567,4,26,high,RR
3,17,0.951452736056423,8,33,low,Priority
15,16,0.8663145288878311,4,10,high,RR
5,3,0.38098411982857605,6,19,medium,FCFS
3,17,0.6888057029638122,2,19,high,RR
8,28,0.26760617755844207,1,33,low,Priority
8,15,0.487293124031581,2,10,high,RR
12,21,0.9069969428524297,3,24,medium,RR
15,26,0.10335047414761495,7,22,medium,Priority
12,20,0.4894884499116354,6,26,medium,RR
2,24,0.4954508676666058,1,12,low,SJF
18,18,0.5229916435344155,6,36,high,RR
13,25,0.8668783539802662,6,45,high,RR
19,24,0.23444618776987944,9,36,high,Priority
16,22,0.6505322847778795,4,38,medium,RR
8,18,0.3958416846411691,2,37,low,RR
9,13,0.16103574907455023,4,30,medium,RR
7,2,0.9654234560006417,2,19,medium,RR
10,23,0.6899385810735573,8,15,low,Priority
3,27,0.12295704804461102,6,14,high,SJF
9,18,0.9423784462699208,8,32,medium,Priority
15,27,0.5188465408195665,4,20,medium,RR
3,9,0.24094079812582056,2,16,high,SJF
12,13,0.539910851174292,3,23,high,RR
14,4,0.7530555360652539,7,36,high,FCFS
12,18,0.10615965578845583,3,26,low,RR
9,27,0.6726025306347476,3,39,low,RR
15,1,0.8540036259560753,1,34,low,RR
5,4,0.7417993697129441,4,28,medium,RR
17,19,0.6217658515151746,4,38,medium,RR
15,2,0.8087909080272769,7,46,high,SJF
19,26,0.9088892508832226,3,49,medium,RR
8,21,0.7603029194188416,3,30,medium,RR
10,12,0.4338473569866649,2,41,low,RR
6,13,0.4722050874797135,6,18,high,SJF
2,7,0.25086772630745036,9,32,medium,SJF
3,5,0.1107404372036138,1,44,low,SJF
15,11,0.8858563140672374,6,17,medium,RR
10,12,0.8265972391738089,1,9,high,RR
12,1,0.32843821594556727,6,24,low,RR
11,5,0.41610503879392985,5,48,high,FCFS
15,6,0.2781300146182035,4,19,medium,RR
9,5,0.9329062336215658,1,39,medium,RR
5,21,0.17156112311551017,1,18,medium,Priority
18,24,0.7089486804526982,2,28,medium,FCFS
7,24,0.5626129137991128,2,27,medium,RR
13,20,0.7183465297258449,7,13,medium,Priority
1,23,0.7098483683815431,6,9,high,RR
15,2,0.6838815663843463,7,30,high,FCFS
10,18,0.31945358793989315,8,44,low,Priority
12,27,0.9296167576195363,4,37,low,RR
19,16,0.8379849298390456,5,45,medium,SJF
2,18,0.6307389104785454,9,37,low,Priority
16,13,0.8160782601377208,9,14,medium,Priority
6,14,0.9185731712102916,3,10,medium,RR
18,13,0.8103922349364578,3,49,high,RR
1,24,0.34921513383781144,7,29,low,Priority
15,1,0.43422465668633276,7,19,low,Priority
19,28,0.5942624617405315,1,36,low,RR
3,13,0.10392687916377721,3,12,medium,SJF
14,10,0.7796320534217487,9,7,low,Priority
8,17,0.8604698046649799,5,33,medium,SJF
12,5,0.4478748312846305,5,19,high,FCFS
11,16,0.5762577853875229,2,49,high,RR
11,13,0.8358425177656715,7,20,high,Priority
15,25,0.6726728501564835,3,20,low,RR
13,23,0.27888797100825974,4,31,low,RR
15,28,0.5723748211903504,4,34,medium,RR
2,17,0.966279435822557,9,34,high,Priority
7,12,0.261559461864188,7,46,low,Priority
10,24,0.9547121513035847,4,12,medium,Priority
1,11,0.14460802936129546,7,26,medium,SJF
9,26,0.28739983031520494,8,46,low,Priority
5,4,0.34806174133885803,3,40,high,SJF
10,25,0.19489660901457212,4,13,low,RR
18,5,0.24791862865094108,3,48,medium,Priority
1,23,0.5840278475697559,6,41,high,RR
3,28,0.2720655061141642,9,18,low,SJF
2,3,0.6238607700746321,2,7,medium,RR
7,10,0.7232051658634125,7,28,medium,Priority
19,4,0.7375272903252242,7,49,medium,Priority
4,8,0.657095746600268,4,7,low,RR
8,1,0.29827076403681624,9,43,low,Priority
17,28,0.14671003562297438,5,47,high,RR
8,6,0.6233614796367276,3,47,low,RR
3,22,0.6945996352726678,7,48,medium,Priority
6,17,0.99,7,34,medium,FCFS
12,26,0.9554325068393047,9,20,medium,Priority
16,12,0.4080006651856612,8,24,high,Priority
16,13,0.2005551903948877,3,45,medium,Priority
5,20,0.9198607559871322,1,34,low,RR
6,22,0.18507636206920278,7,36,low,SJF
16,12,0.7947519046923072,2,19,low,RR
18,13,0.4232913751836481,5,6,high,RR
9,1,0.3852311899014132,4,27,medium,RR
4,18,0.568626689803553,3,26,high,RR
15,22,0.5984373056728126,4,47,high,RR
17,10,0.5828657208146941,3,34,medium,RR
14,6,0.22597281658880436,7,18,low,Priority
15,21,0.12437012044542911,2,38,medium,RR
14,20,0.6184547364995246,9,6,low,SJF
1,4,0.6387531063584024,1,20,medium,RR
14,29,0.3821707801486571,3,45,medium,RR
13,21,0.21629341907153557,5,38,low,RR
15,4,0.18369144903278153,4,22,low,RR
6,29,0.12848741477170814,2,28,high,SJF
19,5,0.795519452301077,9,6,medium,Priority
11,18,0.1387565510850603,8,19,low,SJF
19,9,0.2245815763146165,9,32,medium,Priority
14,19,0.26182100024527827,1,8,high,RR
8,17,0.3103063465025112,4,32,medium,RR
7,18,0.2055035618450658,4,39,high,RR
14,7,0.7492474635864319,6,10,medium,RR
2,27,0.471784090268671,6,19,low,SJF
10,23,0.22792813019790217,7,9,low,Priority
13,21,0.8396968167819245,5,22,low,RR
13,4,0.42533255898518557,1,15,high,FCFS
4,2,0.39319887821554855,2,44,high,FCFS
9,29,0.46725261149766495,6,45,low,RR
10,13,0.2194962448380046,1,13,low,RR
1,2,0.4883993701972421,1,14,medium,SJF
8,21,0.8231924403632475,7,37,high,Priority
8,17,0.657756086140742,7,28,low,Priority
19,5,0.7677712591501425,1,28,low,RR
8,13,0.131160805592308,7,47,low,Priority
13,19,0.16660743221580543,8,21,low,Priority
8,26,0.5086528138290561,4,15,high,RR
19,7,0.8024635621341033,3,47,medium,RR
5,5,0.686024468015944,8,15,medium,SJF
15,16,0.9665068261250642,8,44,low,Priority
9,2,0.6867003711001086,3,40,medium,RR
4,14,0.1609744390936028,9,14,low,SJF
4,12,0.5188855584827595,2,17,low,RR
16,28,0.24695573149994182,1,44,medium,RR
9,25,0.43444369368466473,9,25,medium,Priority
12,19,0.8933799008242266,8,25,high,Priority
7,18,0.3346532871220054,2,25,low,RR
8,14,0.7498088972456894,7,27,high,Priority
11,25,0.933110411785033,2,6,low,RR
15,20,0.8135236383493419,3,27,low,RR
11,5,0.6220226164621785,8,8,high,FCFS
19,23,0.7070966925235382,7,48,high,Priority
5,15,0.23077891521894392,8,5,low,SJF
3,1,0.34847216644812395,3,36,medium,SJF
2,11,0.3860886686818136,5,43,high,SJF
2,9,0.4234368979353622,9,41,medium,SJF
10,26,0.840988302738348,1,18,medium,RR
2,21,0.43505302951645086,3,34,high,SJF
6,23,0.5406351290412291,4,8,medium,RR
3,26,0.45694814202808187,5,45,high,SJF
10,6,0.2521693409104204,9,49,low,Priority
7,4,0.5555404840900531,3,27,low,RR
16,26,0.5969404105156703,4,28,medium,RR
18,19,0.34783646101905064,3,23,medium,RR
13,12,0.8097314920614472,6,35,high,RR
16,13,0.22705257549444555,7,37,medium,Priority
17,27,0.8105716920946962,9,49,low,FCFS
17,6,0.6623937248607283,6,19,high,FCFS
7,9,0.9463690083950268,5,13,medium,RR
3,13,0.7106205874255334,6,49,medium,RR
17,27,0.3624419876120009,5,23,medium,RR
3,14,0.2853122885134939,5,33,low,SJF
17,21,0.517539932129942,5,40,medium,RR
4,7,0.9059723435376694,3,5,low,RR
4,6,0.13559219469446737,9,35,low,SJF
4,21,0.16562099521667945,6,33,high,SJF
3,23,0.90955143451765,8,14,medium,Priority
10,25,0.8081369409686999,9,49,high,Priority
18,26,0.5972987646920641,5,8,medium,RR
1,27,0.4003171782836525,2,36,high,SJF
15,16,0.9366496453510955,8,18,low,Priority
5,26,0.9728279719083063,5,7,high,RR
5,24,0.3924489925922285,3,29,low,SJF
12,25,0.2550517400776886,1,8,high,RR
10,25,0.8456948318508695,7,37,low,Priority
2,28,0.739223097134358,9,43,medium,Priority
17,17,0.6521785252046607,6,39,low,RR
10,21,0.2320222770678326,6,6,medium,RR
2,16,0.45984106590836676,7,26,high,SJF
8,6,0.8236595683332829,3,36,high,SJF
4,14,0.766742347122716,8,44,low,Priority
15,22,0.22907229011460703,9,44,medium,Priority
17,2,0.17536358477447594,3,12,low,RR
10,20,0.7994297975909752,7,28,low,Priority
18,11,0.7773534525190295,3,15,medium,RR
8,24,0.4128613842376081,9,40,low,Priority
8,23,0.6641059458605221,8,23,medium,Priority
6,12,0.2524700902827976,3,49,high,SJF
18,11,0.9801148153876784,1,32,low,RR
8,5,0.7485399058121721,5,8,medium,RR
6,14,0.17016395068072446,9,16,high,FCFS
14,23,0.9539432631547348,7,25,medium,Priority
13,2,0.2462235803690973,6,35,high,FCFS
5,25,0.1770446294656487,4,29,medium,SJF
5,4,0.26773079244898934,9,41,medium,SJF
6,19,0.7805809442855409,9,15,medium,Priority
15,12,0.5216253327282362,5,28,medium,RR
3,12,0.39650724178515223,5,32,medium,RR
1,21,0.4543810963015512,2,45,high,SJF
15,18,0.7616375688276492,9,27,medium,Priority
17,5,0.8347540744194979,3,37,low,RR
16,2,0.38893696467862354,8,32,high,FCFS
7,6,0.867350737858866,1,12,high,FCFS
3,4,0.8752754479665363,6,19,high,FCFS
3,25,0.36358568743916314,4,18,low,SJF
7,9,0.8049223751981227,2,38,medium,RR
2,24,0.45100430510809,4,12,medium,SJF
3,19,0.9796141550184752,4,29,medium,RR
6,23,0.20871929863130767,9,23,medium,SJF
19,3,0.7758259812325279,9,32,low,Priority
7,15,0.7458379665601637,7,23,high,Priority
14,24,0.7398458014562169,4,43,low,RR
9,1,0.5110733021026875,9,17,high,FCFS
3,8,0.36641056459098487,9,8,high,SJF
4,28,0.860122205914881,9,26,low,Priority
16,29,0.8552062955868034,3,15,medium,RR
18,21,0.5704011106036787,5,24,low,RR
3,12,0.19149382101175458,9,13,high,SJF
17,2,0.8906684339586836,1,12,low,RR
15,8,0.3808026016574661,9,23,medium,Priority
8,21,0.6653173726360653,4,32,high,RR
4,23,0.5668290703980168,4,26,low,RR
3,23,0.32304750719108094,8,37,high,SJF
9,1,0.3472655405136671,6,10,medium,Priority
18,17,0.14818489061548362,6,30,high,RR
8,19,0.34132472322291824,1,33,low,RR
17,3,0.2694745089760669,3,48,low,RR
13,29,0.10662376525869664,1,12,high,SJF
1,26,0.5013318639086841,5,46,high,RR
9,9,0.8223083168173246,1,45,low,RR
19,27,0.5478784514549536,9,43,low,Priority
11,14,0.9827430809306943,1,44,high,RR
12,8,0.9063244746892112,5,49,low,RR
16,1,0.8247057030749771,7,33,medium,Priority
5,8,0.8495314028791199,7,35,low,Priority
15,23,0.13683469168248127,4,22,medium,RR
2,4,0.4331920596134835,4,21,low,SJF
19,15,0.45809622108953846,4,37,medium,RR
19,15,0.7692715975498556,2,33,low,RR
10,2,0.8758243066501868,2,13,low,RR
7,28,0.2346727605278868,6,31,low,SJF
2,29,0.1642887404733079,8,6,low,SJF
9,11,0.36894171966159767,1,49,high,RR
5,21,0.8173862617431903,9,26,low,Priority
6,28,0.4412217352991081,2,41,high,SJF
13,23,0.5994224674627483,6,34,medium,RR
3,3,0.8595982980769897,9,26,high,FCFS
16,27,0.42091002432139296,6,40,low,RR
7,2,0.24157658178446326,5,11,low,RR
1,1,0.9373711128805488,3,34,medium,RR
18,28,0.10757506275654663,1,43,low,SJF
8,2,0.849373495352141,8,16,medium,Priority
1,4,0.24817306937918437,2,9,medium,SJF
3,11,0.23645215556593688,6,47,high,SJF
10,19,0.12939172838521748,5,33,medium,RR
5,26,0.20067341106175626,5,39,high,SJF
6,4,0.9879716974063387,9,33,low,Priority
15,20,0.12080397519258394,6,7,low,RR
5,9,0.5789557408026015,2,49,medium,Priority
19,3,0.36036504096800615,3,25,medium,RR
12,21,0.9576889341447564,7,8,high,Priority
1,28,0.6139639376521083,3,18,high,RR
2,11,0.2720722075619687,1,39,medium,SJF
8,22,0.6082889515654685,3,41,high,RR
8,28,0.8508358506521354,5,40,medium,RR
19,27,0.9240607430286103,6,49,high,RR
12,22,0.22127568510523588,7,33,low,Priority
17,24,0.3421426347428883,6,21,high,RR
19,26,0.9781379172609883,4,36,medium,RR
4,6,0.560783885368862,8,27,high,FCFS
11,25,0.4232768785523101,1,18,high,RR
18,28,0.8372535381103852,4,11,low,RR
3,17,0.9885848404830763,8,49,low,SJF
17,17,0.36360017901619895,8,23,high,Priority
6,3,0.5143489312955907,7,20,medium,Priority
11,3,0.7076449679071302,5,20,medium,RR
9,24,0.7393445646640141,9,34,high,Priority
3,19,0.27135822358964723,1,43,high,SJF
7,3,0.7557441043832602,9,41,low,Priority
15,5,0.10675562842354822,8,9,low,Priority
1,4,0.7197720703149425,8,27,low,Priority
2,14,0.3684047287061874,4,35,high,SJF
6,11,0.41688528431644584,3,18,low,SJF
13,2,0.11332425510171375,3,43,medium,FCFS
8,17,0.5543267366644995,6,6,medium,RR
13,24,0.3604370033793145,2,43,high,RR
8,23,0.9364072952880237,7,31,medium,Priority
7,21,0.849406948701969,1,45,medium,RR
13,21,0.2915427056288983,3,29,medium,RR
17,23,0.5359906562399291,4,12,medium,RR
18,14,0.4964381111330865,4,28,high,RR
4,13,0.9155459594914263,8,23,high,Priority
14,2,0.2169104441662123,2,15,low,RR
12,17,0.37829445372201753,1,33,medium,RR
18,22,0.713349520345362,7,28,medium,Priority
8,9,0.3862252176962409,9,34,high,Priority
1,12,0.34327593841269616,2,48,medium,SJF
15,19,0.4783652400261246,1,10,high,RR
5,17,0.7117608034170618,1,31,low,RR
10,15,0.24104071241535185,5,47,low,RR
5,1,0.33595351909457,1,8,high,FCFS
9,22,0.5304351633068112,3,16,low,RR
10,17,0.4129216409902865,7,32,low,Priority
3,15,0.19906167578409778,3,47,low,SJF
7,9,0.2637002570906092,5,17,high,RR
2,16,0.43259333430260266,6,14,medium,SJF
1,4,0.7037470879503182,2,13,high,FCFS
4,18,0.7450693471559408,6,48,low,SJF
8,22,0.28256486540474374,4,25,high,SJF
3,13,0.1450903421077979,6,15,low,SJF
12,15,0.8375363526521857,5,42,medium,RR
17,4,0.9486057594214479,3,28,high,FCFS
15,6,0.5753455717554822,6,28,low,RR
11,25,0.9462177817968812,6,5,high,RR
16,15,0.2931246159875707,6,46,high,RR
15,9,0.20597425417249957,6,11,low,RR
1,23,0.5590086225133023,4,16,high,FCFS
4,13,0.9544801548426238,3,13,high,Priority
8,2,0.6446732519179111,8,12,low,Priority
4,8,0.16080595546548265,9,33,medium,SJF
2,28,0.522262421201767,7,49,medium,Priority
4,26,0.9873609003757857,7,9,medium,Priority
11,15,0.5973098603173502,6,45,low,SJF
12,7,0.22594102398131355,9,14,high,FCFS
13,19,0.2499862666962278,5,12,high,RR
11,11,0.8250588880912331,4,42,medium,RR
15,9,0.7184970749368336,1,9,low,FCFS
11,24,0.2121133414724234,2,42,high,RR
2,15,0.4227892116969879,5,9,medium,SJF
6,22,0.7774933745408381,3,34,medium,RR
8,12,0.9029833735553711,1,21,high,SJF
13,18,0.8535396923157701,6,45,high,RR
16,24,0.7273366011150052,9,16,high,SJF
5,25,0.9187381375656475,7,42,medium,Priority
18,26,0.11134920642100858,3,33,high,RR
2,17,0.9405249198950505,5,19,medium,RR
2,23,0.45853154018275416,8,34,high,SJF
1,10,0.6901489228775716,4,29,medium,RR
12,9,0.8331147441393536,4,41,medium,RR
11,21,0.29594602621635,8,5,high,Priority
8,16,0.17217052200365163,5,31,low,RR
3,12,0.6743843480126168,4,13,medium,RR
2,19,0.5292053425122256,9,33,high,Priority
17,3,0.4347638122163887,5,34,high,FCFS
3,17,0.49599589881596373,1,22,low,RR
18,4,0.8589998365818631,1,30,low,RR
10,27,0.30288226086603276,9,9,medium,Priority
1,17,0.23704403037885208,8,49,low,SJF
