avg_burst_time,arrival_rate,cpu_io_ratio,priority_variance,queue_length,throughput_req,best_scheduler
1,21,0.15,6,32,low,SJF
5,5,0.99,5,27,low,RR
5,10,0.86,1,25,medium,RR
9,14,0.32,4,5,low,RR
8,2,0.42,8,43,medium,Priority
2,22,0.79,2,16,low,RR
12,5,0.18,9,21,high,FCFS
15,23,0.77,5,18,medium,RR
11,19,0.9,2,42,medium,RR
2,18,0.45,3,38,low,SJF
6,1,0.8,7,46,high,FCFS
17,5,0.81,8,21,medium,Priority
17,28,0.16,5,38,medium,RR
2,13,0.29,3,27,high,SJF
16,11,0.22,8,8,low,Priority
3,3,0.56,2,23,low,RR
5,18,0.35,6,25,medium,SJF
1,5,0.51,2,18,medium,RR
13,27,0.13,9,26,high,Priority
11,16,0.15,4,5,low,RR
3,29,0.98,8,26,medium,Priority
14,24,0.74,8,11,high,Priority
15,23,0.56,2,42,high,RR
19,15,0.19,7,41,medium,Priority
7,25,0.85,6,30,medium,RR
12,25,0.89,4,29,medium,RR
3,9,0.54,4,26,medium,RR
15,8,0.62,3,46,low,RR
5,6,0.9,2,49,medium,RR
5,25,0.31,6,25,medium,SJF
6,23,0.53,8,13,high,Priority
3,19,0.12,5,40,high,SJF
6,2,0.61,4,19,medium,RR
17,24,0.74,9,6,high,Priority
11,8,0.52,5,10,medium,RR
4,19,0.28,4,16,high,SJF
1,26,0.78,6,41,medium,RR
11,4,0.39,3,37,medium,RR
18,24,0.22,7,14,medium,Priority
13,8,0.82,1,41,low,RR
17,9,0.63,8,42,high,Priority
3,17,0.86,2,18,low,RR
11,9,0.28,3,39,low,RR
8,22,0.14,8,15,low,Priority
5,14,0.81,3,25,low,RR
5,19,0.69,4,29,low,RR
10,25,0.71,8,43,medium,Priority
19,29,0.37,7,19,low,Priority
17,1,0.45,2,18,low,RR
8,8,0.66,3,10,medium,RR
3,7,0.75,4,19,high,FCFS
1,20,0.76,4,33,medium,RR
1,29,0.32,7,37,medium,SJF
4,22,0.74,5,14,low,RR
6,13,0.2,4,49,high,SJF
8,5,0.53,4,16,low,RR
2,27,0.67,3,40,medium,RR
11,27,0.41,8,42,medium,Priority
8,23,0.51,8,22,low,Priority
1,15,0.75,4,8,low,RR
5,8,0.68,1,32,high,RR
9,22,0.17,8,45,medium,Priority
11,23,0.21,5,25,medium,RR
14,4,0.21,9,5,high,FCFS
19,8,0.64,9,13,medium,Priority
9,3,0.45,9,30,high,FCFS
6,2,0.51,2,31,low,RR
11,27,0.5,3,28,low,RR
7,20,0.47,8,37,low,Priority
11,22,0.3,2,25,low,RR
7,17,0.96,1,24,medium,RR
8,17,0.37,7,23,medium,Priority
17,13,0.44,8,23,medium,Priority
1,14,0.74,2,6,medium,RR
17,18,0.54,3,8,low,RR
8,29,0.17,3,36,medium,RR
10,19,0.67,1,27,high,RR
18,7,0.69,1,7,high,FCFS
8,22,0.4,5,7,high,RR
1,28,0.31,2,39,medium,SJF
14,11,0.96,4,41,medium,RR
14,23,0.9,7,14,high,Priority
1,23,0.85,3,40,low,RR
18,2,0.91,5,24,high,FCFS
10,2,0.42,7,16,low,Priority
5,6,0.79,9,38,low,Priority
12,3,0.94,6,48,low,RR
10,24,0.98,7,36,low,Priority
18,19,0.56,9,44,medium,Priority
13,25,0.33,6,26,high,RR
14,4,0.22,2,27,low,RR
11,6,0.91,5,46,low,RR
6,2,0.59,9,42,medium,Priority
12,23,0.19,6,25,high,RR
6,27,0.63,9,11,medium,Priority
13,17,0.47,2,47,low,RR
19,21,0.64,5,15,high,RR
4,17,0.74,8,39,medium,Priority
2,23,0.69,6,26,low,RR
1,26,0.13,4,23,high,SJF
11,17,0.54,2,13,medium,RR
2,21,0.41,8,21,low,SJF
11,8,0.49,7,39,high,Priority
18,5,0.1,3,34,medium,RR
2,12,0.42,1,21,medium,SJF
17,15,0.18,8,23,high,Priority
17,23,0.74,6,12,low,RR
18,25,0.68,9,49,medium,Priority
15,10,0.62,1,27,medium,RR
7,14,0.21,7,13,high,Priority
16,8,0.96,7,33,medium,Priority
7,3,0.38,7,21,medium,Priority
3,12,0.21,2,7,low,SJF
11,8,0.49,7,48,high,Priority
15,24,0.58,6,29,low,RR
18,1,0.89,2,39,medium,RR
2,27,0.88,2,36,high,RR
7,14,0.41,1,33,medium,RR
12,25,0.62,9,14,medium,Priority
7,20,0.76,1,7,low,RR
14,24,0.36,4,22,medium,RR
5,25,0.35,5,19,low,SJF
15,17,0.45,4,16,high,RR
5,29,0.33,6,43,high,SJF
14,24,0.52,2,29,high,RR
4,27,0.46,6,49,medium,SJF
10,11,0.26,9,7,medium,Priority
5,5,0.66,7,13,high,FCFS
17,29,0.33,3,22,medium,RR
17,24,0.9,3,42,low,RR
15,25,0.63,5,38,high,RR
9,24,0.34,9,7,low,Priority
2,12,0.13,8,29,low,SJF
11,27,0.35,6,12,high,RR
5,16,0.54,6,41,low,RR
5,13,0.86,8,49,medium,Priority
19,26,0.61,8,38,high,Priority
13,13,0.75,8,23,low,Priority
16,9,0.4,9,46,high,Priority
6,28,0.24,9,35,high,SJF
10,10,0.83,5,34,high,RR
18,4,0.6,7,6,low,Priority
14,27,0.97,1,44,high,RR
2,28,0.11,3,10,high,SJF
7,10,0.48,2,32,high,RR
5,29,0.8,4,36,medium,RR
4,27,0.25,6,21,medium,SJF
1,22,0.65,2,18,high,RR
12,4,0.68,4,16,high,FCFS
11,1,0.39,3,15,medium,RR
2,14,0.52,4,21,high,RR
13,9,0.25,7,33,low,Priority
11,20,0.85,4,26,high,RR
3,17,0.96,8,32,low,Priority
15,16,0.86,4,10,high,RR
5,3,0.38,6,19,medium,SJF
3,17,0.68,2,19,high,RR
8,28,0.27,1,33,low,RR
8,15,0.5,2,11,high,RR
12,21,0.91,3,24,medium,RR
15,25,0.1,7,21,medium,Priority
12,20,0.48,6,26,medium,RR
2,24,0.49,1,12,low,SJF
18,18,0.53,6,36,high,RR
13,25,0.87,6,45,high,RR
19,24,0.23,9,36,high,Priority
16,22,0.65,4,37,medium,RR
8,18,0.39,2,37,low,RR
9,13,0.17,4,30,medium,RR
7,2,0.97,2,19,medium,RR
10,23,0.7,8,15,low,Priority
3,27,0.13,6,13,high,SJF
9,18,0.93,8,32,medium,Priority
15,27,0.53,4,20,medium,RR
3,9,0.25,2,16,high,SJF
12,13,0.53,3,23,high,RR
14,4,0.76,7,36,high,FCFS
12,18,0.12,3,26,low,RR
9,27,0.68,3,39,low,RR
15,1,0.85,1,34,low,RR
5,4,0.75,4,28,medium,RR
17,19,0.62,4,38,medium,RR
15,2,0.81,7,46,high,FCFS
19,26,0.91,3,49,medium,RR
8,21,0.75,3,30,medium,RR
10,12,0.43,2,41,low,RR
6,13,0.49,6,18,high,SJF
2,7,0.25,9,32,medium,SJF
3,5,0.11,1,44,low,SJF
15,11,0.89,6,18,medium,RR
10,12,0.84,1,9,high,RR
12,1,0.32,6,24,low,RR
11,5,0.42,5,48,high,FCFS
15,6,0.28,4,18,medium,RR
9,5,0.93,1,39,medium,RR
5,21,0.18,1,18,medium,SJF
18,24,0.71,2,29,medium,RR
7,24,0.56,2,27,medium,RR
13,20,0.73,7,12,medium,Priority
1,23,0.7,6,9,high,RR
15,2,0.69,7,30,high,FCFS
10,18,0.32,8,44,low,Priority
12,27,0.93,4,37,low,RR
19,16,0.84,5,45,medium,RR
2,18,0.64,9,37,low,Priority
16,13,0.8,9,15,medium,Priority
6,14,0.92,3,10,medium,RR
18,13,0.81,3,49,high,RR
1,24,0.36,7,29,low,SJF
15,1,0.43,7,19,low,Priority
19,28,0.59,1,36,low,RR
3,12,0.11,3,12,medium,SJF
14,10,0.78,9,7,low,Priority
8,16,0.85,5,33,medium,RR
12,5,0.45,5,19,high,FCFS
11,16,0.59,2,48,high,RR
11,13,0.83,7,20,high,Priority
15,25,0.68,3,19,low,RR
13,22,0.27,4,31,low,RR
15,28,0.58,4,34,medium,RR
2,17,0.97,9,34,high,Priority
7,12,0.26,7,46,low,Priority
10,24,0.96,4,11,medium,RR
1,12,0.14,7,26,medium,SJF
9,26,0.29,8,46,low,Priority
5,4,0.34,3,40,high,FCFS
10,25,0.19,4,14,low,RR
18,5,0.25,3,48,medium,RR
1,23,0.58,6,41,high,RR
3,28,0.28,9,18,low,SJF
2,3,0.63,2,7,medium,RR
7,9,0.72,7,28,medium,Priority
19,4,0.74,7,49,medium,Priority
4,8,0.67,4,7,low,RR
8,1,0.3,9,43,low,Priority
17,28,0.16,5,48,high,RR
8,6,0.63,3,48,low,RR
3,22,0.7,7,48,medium,Priority
6,17,0.99,7,34,medium,Priority
12,26,0.95,9,20,medium,Priority
16,12,0.41,8,24,high,Priority
16,13,0.21,3,44,medium,RR
5,20,0.93,1,34,low,RR
6,22,0.18,7,36,low,SJF
16,12,0.8,2,18,low,RR
18,13,0.42,5,6,high,RR
9,1,0.37,4,27,medium,RR
4,18,0.56,3,26,high,RR
15,22,0.6,4,46,high,RR
17,10,0.58,3,34,medium,RR
14,6,0.23,7,18,low,Priority
15,21,0.12,2,39,medium,RR
14,20,0.61,9,6,low,Priority
1,4,0.64,1,20,medium,RR
14,29,0.38,3,45,medium,RR
13,21,0.21,5,38,low,RR
15,4,0.17,4,22,low,RR
6,29,0.12,2,27,high,SJF
19,5,0.79,9,6,medium,Priority
11,18,0.15,8,19,low,Priority
19,9,0.23,9,32,medium,Priority
14,19,0.26,1,8,high,RR
8,17,0.31,4,33,medium,RR
7,18,0.22,4,39,high,RR
14,7,0.75,6,9,medium,RR
2,27,0.47,6,19,low,SJF
10,23,0.22,7,9,low,Priority
13,21,0.84,5,22,low,RR
13,4,0.43,1,15,high,FCFS
4,2,0.39,2,44,high,FCFS
9,29,0.45,6,46,low,RR
10,13,0.22,1,13,low,RR
1,2,0.49,1,14,medium,SJF
8,21,0.83,7,38,high,Priority
8,17,0.65,7,28,low,Priority
19,5,0.76,1,27,low,RR
8,13,0.13,7,47,low,Priority
13,19,0.16,8,21,low,Priority
8,26,0.51,4,15,high,RR
19,7,0.8,3,47,medium,RR
5,5,0.69,8,14,medium,Priority
15,16,0.96,8,44,low,Priority
9,2,0.69,3,40,medium,RR
4,14,0.16,9,14,low,SJF
4,12,0.52,2,17,low,RR
16,28,0.24,1,44,medium,RR
9,25,0.43,9,26,medium,Priority
12,19,0.89,8,25,high,Priority
7,17,0.33,2,25,low,RR
8,14,0.75,7,27,high,Priority
11,25,0.93,2,6,low,RR
15,20,0.83,3,27,low,RR
11,5,0.63,8,7,high,FCFS
19,23,0.71,7,48,high,Priority
5,15,0.24,8,5,low,SJF
3,1,0.35,3,36,medium,SJF
2,11,0.38,5,43,high,SJF
2,9,0.43,9,40,medium,SJF
10,26,0.85,1,18,medium,RR
2,21,0.43,3,35,high,SJF
6,24,0.55,4,8,medium,RR
3,26,0.45,5,44,high,SJF
10,6,0.25,9,49,low,Priority
7,4,0.55,3,28,low,RR
16,26,0.6,4,28,medium,RR
18,19,0.34,3,23,medium,RR
13,12,0.8,6,35,high,RR
16,13,0.23,7,37,medium,Priority
17,27,0.81,9,49,low,Priority
17,6,0.67,6,18,high,FCFS
7,9,0.95,5,14,medium,RR
3,13,0.72,6,49,medium,RR
17,27,0.37,5,23,medium,RR
3,14,0.3,5,33,low,SJF
17,21,0.51,5,40,medium,RR
4,7,0.9,3,5,low,RR
4,6,0.15,9,35,low,SJF
4,21,0.16,6,32,high,SJF
3,23,0.91,8,14,medium,Priority
10,25,0.79,9,49,high,Priority
18,26,0.6,5,8,medium,RR
1,27,0.41,2,36,high,SJF
15,16,0.93,8,18,low,Priority
5,26,0.97,5,7,high,RR
5,24,0.4,3,29,low,SJF
12,25,0.26,1,8,high,RR
10,25,0.86,7,37,low,Priority
2,28,0.74,9,43,medium,Priority
17,17,0.65,6,38,low,RR
10,21,0.23,6,6,medium,RR
2,16,0.47,7,26,high,SJF
8,6,0.82,3,36,high,FCFS
4,14,0.77,8,44,low,Priority
15,22,0.24,9,44,medium,Priority
17,2,0.16,3,12,low,RR
10,20,0.81,7,27,low,Priority
18,11,0.79,3,15,medium,RR
8,24,0.42,9,40,low,Priority
8,23,0.67,8,22,medium,Priority
6,12,0.25,3,49,high,SJF
18,11,0.98,1,32,low,RR
8,5,0.75,5,8,medium,RR
6,14,0.17,9,16,high,SJF
14,23,0.96,7,25,medium,Priority
13,2,0.25,6,35,high,FCFS
5,25,0.18,4,29,medium,SJF
5,3,0.27,9,42,medium,SJF
6,19,0.78,9,15,medium,Priority
15,12,0.51,5,28,medium,RR
3,12,0.4,5,32,medium,SJF
1,21,0.47,2,45,high,SJF
15,18,0.77,9,27,medium,Priority
17,5,0.82,3,37,low,RR
16,2,0.39,8,32,high,FCFS
7,6,0.86,1,12,high,FCFS
3,4,0.87,6,19,high,FCFS
3,25,0.37,4,18,low,SJF
7,9,0.8,2,37,medium,RR
2,24,0.44,4,12,medium,SJF
3,19,0.97,4,29,medium,RR
6,23,0.21,9,23,medium,SJF
19,3,0.77,9,32,low,Priority
7,14,0.75,7,23,high,Priority
14,24,0.73,4,44,low,RR
9,1,0.52,9,18,high,FCFS
3,9,0.37,9,8,high,SJF
4,28,0.86,9,26,low,Priority
16,29,0.85,3,15,medium,RR
18,21,0.56,5,24,low,RR
3,12,0.2,9,13,high,SJF
17,2,0.88,1,12,low,RR
15,8,0.38,9,23,medium,Priority
8,21,0.66,4,33,high,RR
4,23,0.56,4,26,low,RR
3,22,0.33,8,38,high,SJF
9,1,0.34,6,10,medium,RR
18,17,0.14,6,30,high,RR
8,19,0.35,1,33,low,RR
17,3,0.27,3,49,low,RR
13,29,0.1,1,12,high,RR
1,26,0.51,5,46,high,RR
9,9,0.83,1,45,low,RR
19,27,0.55,9,43,low,Priority
11,14,0.98,1,44,high,RR
12,8,0.91,5,49,low,RR
16,1,0.83,7,32,medium,Priority
5,8,0.87,7,34,low,Priority
15,23,0.14,4,22,medium,RR
2,4,0.44,4,22,low,SJF
19,15,0.47,4,37,medium,RR
19,15,0.77,2,33,low,RR
10,2,0.89,2,13,low,RR
7,28,0.25,6,31,low,RR
2,29,0.16,8,6,low,SJF
9,12,0.36,1,49,high,RR
5,21,0.82,9,27,low,Priority
6,28,0.44,2,40,high,SJF
13,23,0.58,6,34,medium,RR
3,3,0.86,9,27,high,FCFS
16,26,0.43,6,40,low,RR
7,2,0.25,5,11,low,RR
1,1,0.94,3,33,medium,RR
18,28,0.11,1,42,low,RR
8,2,0.85,8,16,medium,Priority
1,4,0.25,2,9,medium,SJF
3,11,0.22,6,47,high,SJF
10,19,0.12,5,34,medium,RR
5,26,0.2,5,39,high,SJF
6,4,0.99,9,33,low,Priority
15,20,0.13,6,8,low,RR
5,9,0.59,2,49,medium,RR
19,3,0.37,3,25,medium,RR
12,21,0.96,7,8,high,Priority
1,28,0.62,3,17,high,RR
2,11,0.28,1,39,medium,SJF
8,22,0.61,3,41,high,RR
8,28,0.86,5,40,medium,RR
19,27,0.91,6,49,high,RR
12,22,0.22,7,32,low,Priority
17,24,0.35,6,21,high,RR
19,26,0.97,4,36,medium,RR
4,6,0.56,8,27,high,FCFS
11,25,0.42,1,18,high,RR
18,28,0.84,4,11,low,RR
3,16,0.99,8,49,low,Priority
17,17,0.37,8,23,high,Priority
6,3,0.5,7,20,medium,Priority
11,3,0.72,5,20,medium,RR
9,24,0.75,9,34,high,Priority
3,19,0.28,1,44,high,SJF
7,3,0.76,9,41,low,Priority
15,5,0.11,8,9,low,Priority
1,4,0.72,8,27,low,Priority
2,14,0.35,4,34,high,SJF
6,11,0.41,3,18,low,SJF
13,2,0.11,3,42,medium,RR
8,17,0.55,6,6,medium,RR
13,24,0.36,2,43,high,RR
8,23,0.93,7,31,medium,Priority
7,21,0.85,1,45,medium,RR
13,21,0.29,3,29,medium,RR
17,23,0.55,4,12,medium,RR
18,14,0.51,4,28,high,RR
4,13,0.92,8,22,high,Priority
14,2,0.22,2,15,low,RR
12,17,0.38,1,33,medium,RR
18,22,0.73,7,28,medium,Priority
8,9,0.4,9,33,high,Priority
1,11,0.34,2,48,medium,SJF
15,19,0.49,1,10,high,RR
5,17,0.71,1,31,low,RR
10,15,0.25,5,47,low,RR
5,1,0.35,1,8,high,FCFS
9,21,0.52,3,16,low,RR
10,17,0.42,7,32,low,Priority
3,15,0.2,3,48,low,SJF
7,9,0.27,5,17,high,RR
2,16,0.43,6,15,medium,SJF
1,4,0.7,2,13,high,FCFS
4,18,0.76,6,48,low,RR
8,22,0.28,4,25,high,RR
3,13,0.15,6,14,low,SJF
12,15,0.84,5,42,medium,RR
17,4,0.94,3,29,high,FCFS
15,6,0.57,6,28,low,RR
11,25,0.96,6,5,high,RR
16,15,0.3,6,46,high,RR
15,9,0.21,6,11,low,RR
1,23,0.56,4,16,high,RR
4,13,0.97,3,13,high,RR
8,1,0.64,8,12,low,Priority
4,8,0.16,9,33,medium,SJF
2,28,0.52,7,48,medium,Priority
4,26,0.98,7,9,medium,Priority
11,15,0.6,6,45,low,RR
12,7,0.23,9,14,high,FCFS
13,19,0.23,5,12,high,RR
11,11,0.82,4,42,medium,RR
15,9,0.71,1,9,low,RR
11,24,0.22,2,42,high,RR
2,15,0.42,5,9,medium,SJF
6,22,0.78,3,34,medium,RR
8,12,0.9,1,21,high,RR
13,18,0.86,6,45,high,RR
16,24,0.73,9,16,high,Priority
5,25,0.92,7,42,medium,Priority
18,26,0.11,3,33,high,RR
2,17,0.95,5,20,medium,RR
2,23,0.45,8,34,high,SJF
1,11,0.69,4,28,medium,RR
12,9,0.84,4,41,medium,RR
11,21,0.3,8,6,high,Priority
8,16,0.18,5,31,low,RR
3,12,0.69,4,13,medium,RR
2,19,0.54,9,33,high,Priority
17,3,0.45,5,34,high,FCFS
3,17,0.5,1,22,low,RR
18,4,0.85,1,30,low,RR
10,27,0.3,9,9,medium,Priority
1,17,0.23,8,49,low,SJF
4,5,0.74,8,25,high,FCFS
12,26,0.85,7,11,medium,Priority
8,5,0.47,4,27,medium,RR
15,18,0.28,8,45,high,Priority
16,7,0.13,9,31,medium,Priority
15,3,0.55,3,28,high,FCFS
8,29,0.75,8,28,medium,Priority
4,3,0.56,1,27,low,RR
13,5,0.45,5,45,low,RR
6,5,0.74,8,11,high,FCFS
6,21,0.37,3,26,high,SJF
4,28,0.38,3,40,high,SJF
9,5,0.78,2,34,medium,RR
5,25,0.33,3,18,low,SJF
16,27,0.99,4,43,medium,RR
8,17,0.44,7,35,medium,Priority
10,27,0.34,9,21,high,Priority
10,22,0.34,4,29,high,RR
5,6,0.79,9,40,low,Priority
9,24,0.24,7,10,low,Priority
15,23,0.21,9,21,medium,Priority
9,29,0.23,6,10,low,RR
3,17,0.72,7,5,low,Priority
3,26,0.25,4,22,low,SJF
19,11,0.85,8,18,medium,Priority
1,14,0.85,7,8,high,Priority
19,6,0.59,1,44,high,FCFS
1,5,0.74,6,44,low,RR
16,3,0.95,9,24,high,FCFS
4,12,0.36,8,26,high,SJF
5,8,0.32,8,7,medium,SJF
16,23,0.91,2,20,low,RR
17,12,0.36,5,31,low,RR
6,1,0.48,5,37,medium,SJF
18,16,0.4,6,9,high,RR
2,15,0.44,1,17,medium,SJF
7,15,0.2,7,23,medium,Priority
18,10,0.91,8,30,medium,Priority
10,17,0.19,5,32,medium,RR
9,5,0.27,4,45,low,RR
17,12,0.17,3,14,medium,RR
3,16,0.66,8,14,medium,Priority
11,23,0.17,6,24,high,RR
9,22,0.72,3,24,high,RR
15,2,0.34,2,26,high,FCFS
6,15,0.6,9,37,medium,Priority
9,27,0.34,2,33,low,RR
19,26,0.5,5,19,high,RR
19,16,0.11,8,26,medium,Priority
13,28,0.66,4,11,low,RR
9,4,0.94,4,13,low,RR
14,10,0.76,6,42,low,RR
10,18,0.76,2,39,high,RR
15,15,0.83,9,31,medium,Priority
19,24,0.3,9,45,medium,Priority
18,20,0.28,7,27,high,Priority
15,1,0.29,5,47,medium,RR
8,11,0.51,3,37,high,RR
16,18,0.43,7,14,medium,Priority
6,19,0.54,8,7,medium,Priority
6,1,0.33,8,46,low,SJF
9,29,0.62,9,43,low,Priority
1,22,0.87,2,25,medium,RR
11,27,0.73,8,40,medium,Priority
11,5,0.8,2,38,high,FCFS
11,26,0.12,4,26,high,RR
11,22,0.13,1,7,medium,RR
6,18,0.46,6,42,low,SJF
16,29,0.16,5,11,high,RR
13,15,0.71,3,8,low,RR
1,4,0.92,8,46,high,FCFS
13,23,0.29,7,36,low,Priority
4,14,0.42,7,20,low,SJF
17,21,0.9,6,49,high,RR
7,22,0.56,5,46,high,RR
17,12,0.86,3,34,low,RR
9,29,0.51,7,17,medium,Priority
15,16,0.2,1,44,low,RR
2,5,0.75,2,34,medium,RR
1,17,0.47,3,18,medium,SJF
10,15,0.19,4,38,low,RR
10,28,0.38,7,23,medium,Priority
15,28,0.61,9,37,medium,Priority
1,19,0.7,8,46,low,Priority
18,2,0.47,6,5,medium,RR
16,15,0.2,1,33,high,RR
17,7,0.2,1,7,high,FCFS
17,7,0.47,1,21,high,FCFS
3,15,0.89,9,32,low,Priority
1,29,0.83,9,48,high,Priority
9,7,0.5,3,23,medium,RR
9,13,0.53,5,34,low,RR
8,18,0.9,2,36,medium,RR
6,12,0.26,8,40,high,SJF
17,13,0.5,6,19,low,RR
10,29,0.5,3,18,high,RR
4,27,0.43,2,13,high,SJF
2,29,0.19,9,40,low,SJF
5,16,0.77,7,36,medium,Priority
17,3,0.7,7,32,low,Priority
6,29,0.24,7,35,high,SJF
4,10,0.62,6,46,medium,RR
13,11,0.34,8,44,high,Priority
8,13,0.29,1,30,medium,RR
18,12,0.5,7,22,medium,Priority
17,6,0.57,3,42,high,FCFS
1,13,0.84,5,17,high,RR
4,7,0.34,7,19,high,FCFS
4,23,0.98,8,24,medium,Priority
5,20,0.43,8,5,low,SJF
6,29,0.88,3,19,low,RR
14,18,0.8,9,44,high,Priority
7,8,0.69,2,6,high,RR
1,22,0.73,6,31,high,RR
10,3,0.99,3,35,high,FCFS
16,29,0.38,3,15,high,RR
19,22,0.6,5,39,medium,RR
6,14,0.92,1,36,high,RR
15,11,0.1,3,20,low,RR
10,19,0.62,3,47,medium,RR
10,29,0.45,4,23,high,RR
11,14,0.43,5,9,high,RR
12,18,0.68,1,46,medium,RR
14,11,0.94,2,31,high,RR
18,24,0.94,5,48,low,RR
9,27,0.72,9,14,medium,Priority
19,1,0.67,4,5,high,FCFS
8,12,0.14,2,21,low,RR
14,14,0.15,2,37,high,RR
11,15,0.85,6,24,medium,RR
6,3,0.67,2,41,low,RR
6,2,0.92,8,48,high,FCFS
8,29,0.48,1,24,high,RR
16,14,0.69,7,20,low,Priority
15,24,0.28,5,27,high,RR
9,3,0.28,5,46,low,RR
15,23,0.65,5,34,medium,RR
7,21,0.97,1,21,medium,RR
19,14,0.44,2,11,medium,RR
2,27,0.52,6,28,medium,RR
15,5,0.57,5,44,high,FCFS
8,11,0.39,8,33,medium,Priority
10,7,0.43,4,17,low,RR
4,18,0.4,8,27,medium,SJF
2,23,0.73,5,42,medium,RR
8,14,0.38,7,21,low,Priority
10,25,0.74,5,38,low,RR
13,25,0.61,3,16,low,RR
15,10,0.38,7,43,low,Priority
17,9,0.94,5,22,low,RR
16,9,0.54,6,23,high,RR
3,16,0.46,7,43,high,SJF
8,13,0.89,1,41,medium,RR
19,13,0.62,6,8,high,RR
8,25,0.76,6,42,low,RR
3,28,0.54,6,38,medium,RR
6,8,0.6,9,10,medium,Priority
3,10,0.43,1,35,low,SJF
5,20,0.7,9,35,medium,Priority
7,22,0.77,2,24,low,RR
17,22,0.34,1,19,low,RR
17,24,0.53,2,31,low,RR
14,8,0.28,7,41,low,Priority
16,23,0.53,2,21,medium,RR
7,13,0.78,2,17,high,RR
16,23,0.68,3,19,low,RR
10,12,0.55,7,34,low,Priority
9,22,0.99,3,15,medium,RR
